condition,intervention,setting,seed,final_train_return,final_test_return,final_train_success,final_test_success,gap,success_gap,sample_efficiency_auc
levels,n_train,16,2,0.9150000214576721,-0.7467997074127197,1.0,0.03,1.6617997288703918,0.97,-0.7328463196754456
levels,n_train,16,3,0.9175000190734863,-0.7820996642112732,1.0,0.01,1.6995996832847595,0.99,-0.7611863613128662
levels,n_train,16,4,0.9200000166893005,-0.7469996809959412,1.0,0.03,1.6669996976852417,0.97,-0.7479663491249084
levels,n_train,16,5,0.9199999570846558,-0.7645997405052185,1.0,0.02,1.6845996975898743,0.98,-0.7695264220237732
levels,n_train,16,6,0.9212499856948853,-0.747599720954895,1.0,0.03,1.6688497066497803,0.97,-0.7590463757514954
levels,n_train,16,7,0.9199999570846558,-0.7647996544837952,1.0,0.02,1.684799611568451,0.98,-0.7627264261245728
levels,n_train,64,0,0.8796875476837158,-0.5210996270179749,0.96875,0.16,1.4007871747016907,0.80875,-0.550186276435852
levels,n_train,64,1,0.9326562881469727,-0.48519957065582275,1.0,0.18,1.4178558588027954,0.8200000000000001,-0.6206730008125305
levels,n_train,64,2,0.8792188167572021,-0.5733996033668518,0.96875,0.13,1.452618420124054,0.83875,-0.5976330041885376
levels,n_train,64,3,0.9332813024520874,-0.48609963059425354,1.0,0.18,1.419380933046341,0.8200000000000001,-0.5035996437072754
levels,n_train,64,4,0.9057812690734863,-0.38069969415664673,0.984375,0.24,1.286480963230133,0.744375,-0.4244729280471802
levels,n_train,64,5,0.9329687356948853,-0.6247996091842651,1.0,0.1,1.5577683448791504,0.9,-0.6587730050086975
levels,n_train,64,6,0.9332813024520874,-0.38389965891838074,1.0,0.24,1.3171809613704681,0.76,-0.593393087387085
levels,n_train,64,7,0.8518750667572021,-0.5715996026992798,0.953125,0.13,1.423474669456482,0.823125,-0.5809863209724426
levels,n_train,96,0,0.9345833659172058,-0.27539968490600586,1.0,0.3,1.2099830508232117,0.7,-0.3240729868412018
levels,n_train,96,1,0.8984375,-0.24279963970184326,0.9791666666666666,0.32,1.1412371397018433,0.6591666666666667,-0.3417930006980896
levels,n_train,96,2,0.8811457753181458,-0.5025996565818787,0.96875,0.17,1.3837454319000244,0.79875,-0.4845396876335144
levels,n_train,96,3,0.8995833396911621,-0.20749971270561218,0.9791666666666666,0.34,1.1070830523967743,0.6391666666666667,-0.23701302707195282
levels,n_train,96,4,0.9347917437553406,-0.11969970911741257,1.0,0.39,1.0544914528727531,0.61,-0.20620636641979218
levels,n_train,96,5,0.9347917437553406,-0.3981996774673462,1.0,0.23,1.3329914212226868,0.77,-0.48199301958084106
levels,n_train,96,6,0.9157292246818542,-0.3820996880531311,0.9895833333333334,0.24,1.2978289127349854,0.7495833333333334,-0.4420330226421356
levels,n_train,96,7,0.8990625739097595,-0.1734997034072876,0.9791666666666666,0.36,1.0725622773170471,0.6191666666666666,-0.3149529695510864
levels,n_train,128,0,0.9181000590324402,-0.20729964971542358,0.99,0.34,1.1253997087478638,0.6499999999999999,-0.2761596441268921
levels,n_train,128,1,0.9177000522613525,-0.10409969091415405,0.99,0.4,1.0217997431755066,0.59,-0.18101969361305237
levels,n_train,128,2,0.8847000598907471,-0.36369967460632324,0.97,0.25,1.2483997344970703,0.72,-0.32802632451057434
levels,n_train,128,3,0.9353000521659851,-0.07089972496032715,1.0,0.42,1.0061997771263123,0.5800000000000001,-0.1607396900653839
levels,n_train,128,4,0.9185000658035278,0.01680026389658451,0.99,0.47,0.9016998019069433,0.52,-0.08027305454015732
levels,n_train,128,5,0.9008001089096069,-0.32979974150657654,0.98,0.27,1.2305998504161835,0.71,-0.293219655752182
levels,n_train,128,6,0.9186000823974609,-0.1036997139453888,0.99,0.4,1.0222997963428497,0.59,-0.2506996989250183
levels,n_train,128,7,0.9185000658035278,-0.06939972192049026,0.99,0.42,0.9878997877240181,0.5700000000000001,-0.27476635575294495
levels,n_train,192,0,0.9182000756263733,0.24220018088817596,0.99,0.6,0.6759998947381973,0.39,0.035240255296230316
levels,n_train,192,1,0.9355000853538513,0.20590020716190338,1.0,0.58,0.7295998781919479,0.42000000000000004,0.0732535794377327
levels,n_train,192,2,0.9181000590324402,0.1209002286195755,0.99,0.53,0.7971998304128647,0.45999999999999996,0.06922691315412521
levels,n_train,192,3,0.9355000853538513,0.06960024684667587,1.0,0.5,0.8658998385071754,0.5,-0.009986398741602898
levels,n_train,192,4,0.9013001322746277,-0.0016997253987938166,0.98,0.46,0.9029998576734215,0.52,0.03410692140460014
levels,n_train,192,5,0.9183000922203064,0.17140021920204163,0.99,0.56,0.7468998730182648,0.42999999999999994,0.022233586758375168
levels,n_train,192,6,0.9355000853538513,0.03430025652050972,1.0,0.48,0.9011998288333416,0.52,-0.13372637331485748
levels,n_train,192,7,0.901400089263916,0.03370026499032974,0.98,0.48,0.8676998242735863,0.5,0.039540257304906845
levels,n_train,256,0,0.9175000786781311,0.189900204539299,0.99,0.57,0.7275998741388321,0.42000000000000004,0.1508602350950241
levels,n_train,256,1,0.9355000853538513,0.06800025701522827,1.0,0.5,0.867499828338623,0.5,0.056153591722249985
levels,n_train,256,2,0.9177000522613525,0.20880024135112762,0.99,0.58,0.7088998109102249,0.41000000000000003,0.10653357207775116
levels,n_train,256,3,0.9182000160217285,0.2751002013683319,0.99,0.62,0.6430998146533966,0.37,0.1384468823671341
levels,n_train,256,4,0.9355000853538513,0.2060002088546753,1.0,0.58,0.729499876499176,0.42000000000000004,0.18346688151359558
levels,n_train,256,5,0.934700071811676,0.30950018763542175,1.0,0.64,0.6251998841762543,0.36,0.05168691650032997
levels,n_train,256,6,0.9355000853538513,0.1534002274274826,1.0,0.55,0.7820998579263687,0.44999999999999996,0.0800335705280304
levels,n_train,256,7,0.9183000922203064,0.07020024955272675,0.99,0.5,0.8480998426675797,0.49,0.050793588161468506
aug,augment,shift,0,0.9067187309265137,-0.13829971849918365,0.984375,0.38,1.0450184494256973,0.604375,-0.06249305233359337
aug,augment,shift,1,0.9332813024520874,-0.2934997081756592,1.0,0.29,1.2267810106277466,0.71,-0.18035301566123962
aug,augment,shift,2,0.9070312976837158,-0.31189969182014465,0.984375,0.28,1.2189309895038605,0.704375,-0.28299298882484436
aug,augment,shift,3,0.9071875214576721,-0.15499970316886902,0.984375,0.37,1.0621872246265411,0.614375,-0.08848636597394943
aug,augment,shift,4,0.9057812690734863,-0.24219964444637299,0.984375,0.32,1.1479809135198593,0.6643749999999999,-0.0854930505156517
aug,augment,shift,5,0.9056249856948853,-0.08629970252513885,0.984375,0.41,0.9919246882200241,0.5743750000000001,-0.10612636059522629
aug,augment,shift,6,0.9332813024520874,-0.13819970190525055,1.0,0.38,1.071481004357338,0.62,-0.09985970705747604
aug,augment,shift,7,0.8789063096046448,-0.017199713736772537,0.96875,0.45,0.8961060233414173,0.51875,-0.11425304412841797
aug,augment,cutout,0,0.905468761920929,-0.625899612903595,0.984375,0.1,1.531368374824524,0.884375,-0.6130796670913696
aug,augment,cutout,1,0.8790625333786011,-0.6262996196746826,0.96875,0.1,1.5053621530532837,0.86875,-0.6368997097015381
aug,augment,cutout,2,0.85093754529953,-0.641399621963501,0.953125,0.09,1.492337167263031,0.863125,-0.6571130156517029
aug,augment,cutout,3,0.8806250095367432,-0.7294997572898865,0.96875,0.04,1.6101247668266296,0.92875,-0.6751197576522827
aug,augment,cutout,4,0.8795312643051147,-0.5892996191978455,0.96875,0.12,1.4688308835029602,0.84875,-0.637726366519928
aug,augment,cutout,5,0.9054688215255737,-0.6588996648788452,0.984375,0.08,1.564368486404419,0.904375,-0.6839930415153503
aug,augment,cutout,6,0.9332813024520874,-0.5721996426582336,1.0,0.13,1.505480945110321,0.87,-0.6048863530158997
aug,augment,cutout,7,0.9332813024520874,-0.6076996326446533,1.0,0.11,1.5409809350967407,0.89,-0.5663796663284302
reg,l2,l2,0,0.9057812690734863,-0.12249971181154251,0.984375,0.39,1.0282809808850288,0.594375,-0.2919463515281677
reg,l2,l2,1,0.9326562881469727,-0.2602996826171875,1.0,0.31,1.1929559707641602,0.69,-0.34733298420906067
reg,l2,l2,2,0.9064062833786011,-0.1904997080564499,0.984375,0.35,1.096905991435051,0.634375,-0.40009304881095886
reg,l2,l2,3,0.9332813024520874,-0.19109968841075897,1.0,0.35,1.1243809908628464,0.65,-0.23435302078723907
reg,l2,l2,4,0.9329687356948853,-0.12109971791505814,1.0,0.39,1.0540684536099434,0.61,-0.27009299397468567
reg,l2,l2,5,0.9332813024520874,-0.39879971742630005,1.0,0.23,1.3320810198783875,0.77,-0.5160863399505615
reg,l2,l2,6,0.9057812690734863,-0.07099971175193787,0.984375,0.42,0.9767809808254242,0.5643750000000001,-0.33655303716659546
reg,l2,l2,7,0.9059375524520874,-0.12359972298145294,0.984375,0.39,1.0295372754335403,0.594375,-0.24177967011928558
reg,dropout,0.1,0,0.9045313000679016,-0.6233996748924255,0.984375,0.1,1.5279309749603271,0.884375,-0.5891396999359131
reg,dropout,0.1,1,0.9332813024520874,-0.5899996757507324,1.0,0.12,1.5232809782028198,0.88,-0.5507129430770874
reg,dropout,0.1,2,0.8528125286102295,-0.6770997643470764,0.953125,0.07,1.529912292957306,0.8831249999999999,-0.6415730118751526
reg,dropout,0.1,3,0.850156307220459,-0.5556995868682861,0.953125,0.14,1.4058558940887451,0.813125,-0.5218796133995056
reg,dropout,0.1,4,0.9326562881469727,-0.5712996125221252,1.0,0.13,1.503955900669098,0.87,-0.4547329545021057
reg,dropout,0.1,5,0.9046875238418579,-0.6242996454238892,0.984375,0.1,1.528987169265747,0.884375,-0.6609930396080017
reg,dropout,0.1,6,0.93296879529953,-0.6076996326446533,1.0,0.11,1.5406684279441833,0.89,-0.6364996433258057
reg,dropout,0.1,7,0.9326562881469727,-0.46929967403411865,1.0,0.19,1.4019559621810913,0.81,-0.5416796207427979
width,width,x2,0,0.9332813024520874,-0.571799635887146,1.0,0.13,1.5050809383392334,0.87,-0.550386369228363
width,width,x2,1,0.9329687356948853,-0.47019967436790466,1.0,0.19,1.40316841006279,0.81,-0.6030596494674683
width,width,x2,2,0.93296879529953,-0.5548996329307556,1.0,0.14,1.4878684282302856,0.86,-0.5223196148872375
width,width,x2,3,0.9332813024520874,-0.590899646282196,1.0,0.12,1.5241809487342834,0.88,-0.6200063228607178
width,width,x2,4,0.90625,-0.6240996718406677,0.984375,0.1,1.5303496718406677,0.884375,-0.5780063271522522
width,width,x2,5,0.9054688215255737,-0.5383996367454529,0.984375,0.15,1.4438684582710266,0.834375,-0.5861663222312927
width,width,x2,6,0.9326562881469727,-0.677399754524231,1.0,0.07,1.6100560426712036,0.9299999999999999,-0.6596530079841614
width,width,x2,7,0.9323437809944153,-0.6949996948242188,1.0,0.06,1.627343475818634,0.94,-0.7283863425254822
